,block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs,predict,match
1,0,KINGSLEY,PL,1,,5,3,3,606,0,6/4/16,1985,,1,1,Local,,12572861,31,5,TRUE
2,100,ABERDEEN,TER,2,,7,4,4,530,22,12/11/16,1988,O,1,2,Local,3,12581174,28,7,TRUE
3,100,ACADEMY,PL,1,,6,4,2,588,28,3/11/16,1985,O,1,2,Local,3,12576512,31,6,TRUE
4,100,ACADEMY,ST,3,,8,4,5,325,25,3/11/16,1999,O,1,2,Local,3,12571714,17,8,TRUE
5,100,ADAMS,ST,3,E,7,3,4,176,64,3/11/16,2000,F,1,3,Local,6,12577644,16,6,FALSE
6,100,ADAMS,ST,3,W,8,4,5,352,64,2/11/16,2000,F,1,3,Local,6,12573680,16,8,TRUE
7,100,AINSLEY,DR,4,,6,4,3,411,26,1/12/16,1985,F,2,3,CO,3,12576911,31,6,TRUE
8,100,AINSLEY,DR,4,,6,4,3,411,26,1/12/16,1985,F,2,3,CO,3,12576914,31,6,TRUE
9,100,ALANSON,RD,5,,6,2,4,880,18,3/11/16,2004,F,1,3,Local,6,12571891,12,5,FALSE
10,100,ALANSON,RD,5,,6,2,4,880,18,3/11/16,2004,F,1,3,Local,6,12572942,12,5,FALSE
11,100,ALANSON,RD,5,,6,2,4,880,18,3/11/16,2004,F,1,3,Local,6,12572940,12,5,FALSE
12,100,ALBERT,RD,5,,2,1,2,327,27,3/12/16,1985,O,1,2,Local,3,12578942,31,3,FALSE
13,100,ALDEN,ST,3,,6,3,3,792,26,2/12/16,1989,O,1,2,Local,3,12576956,27,6,TRUE
14,100,ALEXANDER,AVE,6,,1,1,2,686,27,3/12/16,1985,F,1,3,Local,4,12577333,31,3,FALSE
15,100,ALMOND,ST,3,,5,3,3,150,54,2/12/16,1999,F,1,3,Local,6,12578006,17,6,FALSE
16,100,ALMOND,ST,3,,5,3,3,150,54,2/12/16,1999,F,1,3,Local,6,12577993,17,6,FALSE
17,100,ALTON,ST,3,,7,4,3,1050,25,2/12/16,2002,O,1,2,Local,3,13002170,14,7,TRUE
18,100,ALTON,ST,3,,7,4,3,1050,25,2/12/16,2002,O,1,2,Local,3,13011484,14,7,TRUE
19,100,ALVORD,ST,3,S,5,2,3,352,32,1/12/16,1987,F,1,3,Local,6,12580079,29,5,TRUE
20,100,AMES,AVE,6,,5,3,2,323,26,1/12/16,1985,O,1,2,Local,3,12571734,31,5,TRUE
21,100,AMHERST,AVE,6,,7,4,3,557,25,2/12/16,2005,F,1,3,Local,4,12576881,11,7,TRUE
22,100,AMIDON,DR,4,,5,2,3,250,27,3/11/16,1999,F,1,3,Local,4,13002105,17,5,TRUE
23,100,AMY,ST,3,,9,5,5,792,27,2/12/16,1999,O,1,2,Local,3,12573417,17,9,TRUE
24,100,ANDERSON,AVE,6,,7,3,3,1150,25,1/12/16,1999,O,1,2,Local,3,12576600,17,6,FALSE
25,100,ANDOVER,RD,5,,8,4,4,323,21,2/12/16,1985,O,1,2,Local,3,12577527,31,7,FALSE
26,100,ARCH,ST,3,,5,2,3,546,18,1/11/16,2002,O,1,2,Local,3,12581146,14,5,TRUE
27,100,ARCHER,RD,5,,6,3,4,845,28,2/12/16,1999,O,1,2,Local,3,12572325,17,6,TRUE
28,100,ARDEN,DR,4,,7,3,4,323,28,3/12/16,2001,O,1,2,Local,3,12571869,15,6,FALSE
29,100,ARDMORE,PL,1,,6,3,5,317,21,3/12/16,1999,O,1,2,Local,3,12580665,17,7,FALSE
30,100,ARDMORE,PL,1,,6,3,5,317,21,3/12/16,1999,O,1,2,Local,3,12580667,17,7,FALSE
31,100,ARGONNE,DR,4,,3,2,3,247,26,2/11/16,1985,O,1,2,Local,3,12572899,31,4,FALSE
32,100,ARGYLE,AVE,6,,7,3,5,175,22,1/12/16,1989,O,1,2,Local,3,12580767,27,7,TRUE
33,100,ARGYLE,TER,2,,7,2,5,360,25,2/12/16,2005,F,1,3,Local,3,12573198,11,6,FALSE
34,100,ARLINGTON,AVE,6,,3,2,2,350,36,3/11/16,1999,F,1,3,Local,6,12572035,17,4,FALSE
35,100,ARMSTRONG,PL,1,,5,2,4,1330,27,1/12/16,1999,O,1,2,Local,3,12571903,17,5,TRUE
36,100,ARNTS,PL,1,,5,3,3,686,28,2/11/16,1999,O,1,2,Local,3,12575521,17,6,FALSE
37,100,ARSENAL,DR,4,,5,2,4,495,18,3/11/16,1999,O,1,2,Local,3,12576562,17,5,TRUE
38,100,ASH,ST,3,,6,3,3,411,30,2/11/16,1999,F,1,3,Local,6,12575114,17,6,TRUE
39,100,ASHDALE,AVE,6,,3,2,2,716,27,1/11/16,1988,O,1,2,Local,3,12581076,28,4,FALSE
40,100,ASHWORTH,PL,1,,5,3,2,600,27,2/12/16,1999,F,1,3,Local,6,12578137,17,5,TRUE
41,100,ATKINSON,AVE,6,,7,4,4,739,23,2/12/16,1985,O,1,2,Local,3,12572894,31,7,TRUE
42,100,ATLANTIC,AVE,6,,7,4,2,NA,NA,3/11/16,1985,O,1,2,Local,3,12576699,31,6,FALSE
43,100,AUSTIN,AVE,6,,6,3,4,1637,23,2/12/16,2003,O,1,2,Local,3,12572328,13,6,TRUE
