"","block","streetName","streetType","stretTypeNum","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","classnum","flushOilNum","class","pavement","streetID","NumofYrs"
"1",0,"KINGSLEY","PL",1,"",5,2,4,606,0,"4/15/16",1985,"",1,1,"",NA,12572861,31
"2",100,"ABERDEEN","TER",2,"",6,3,4,530,22,"4/14/16",1988,"O",1,2,"",3,12581174,28
"3",100,"ACADEMY","PL",1,"",6,4,2,588,28,"4/15/16",1985,"O",1,2,"",3,12576512,31
"4",100,"ACADEMY","ST",3,"",8,4,4,325,25,"4/15/16",1999,"O",1,2,"",3,12571714,17
"5",100,"ADAMS","ST",3,"E",8,4,5,176,64,"4/14/16",2000,"F",1,3,"",6,12577644,16
"6",100,"ADAMS","ST",3,"W",8,3,5,352,64,"4/14/16",2000,"F",1,3,"",6,12573680,16
"7",100,"AINSLEY","DR",4,"",6,3,2,411,26,"5/14/16",1985,"F",2,3,"CO",3,12576911,31
"8",100,"AINSLEY","DR",4,"",6,3,2,411,26,"5/14/16",1985,"F",2,3,"CO",3,12576914,31
"9",100,"ALANSON","RD",5,"",5,2,5,880,18,"3/15/16",2004,"F",1,3,"",6,12571891,12
"10",100,"ALANSON","RD",5,"",5,2,5,880,18,"3/15/16",2004,"F",1,3,"",6,12572942,12
"11",100,"ALANSON","RD",5,"",5,2,5,880,18,"3/15/16",2004,"F",1,3,"",6,12572940,12
"12",100,"ALBERT","RD",5,"",4,2,4,327,27,"5/14/16",1985,"O",1,2,"",3,12578942,31
"13",100,"ALDEN","ST",3,"",5,2,3,792,26,"5/14/16",1989,"O",1,2,"",3,12576956,27
"14",100,"ALEXANDER","AVE",6,"",2,1,1,686,27,"5/14/16",1985,"F",1,3,"",4,12577333,31
"15",100,"ALMOND","ST",3,"",5,3,2,150,54,"4/14/16",1999,"F",1,3,"",6,12577993,17
"16",100,"ALMOND","ST",3,"",5,3,2,150,54,"4/14/16",1999,"F",1,3,"",6,12578006,17
"17",100,"ALTON","ST",3,"",6,3,3,1050,25,"4/14/16",2002,"O",1,2,"",3,13011484,14
"18",100,"ALTON","ST",3,"",6,3,3,1050,25,"4/14/16",2002,"O",1,2,"",3,13002170,14
"19",100,"ALVORD","ST",3,"S",5,2,3,352,32,"4/14/16",1987,"F",1,3,"",6,12580079,29
"20",100,"AMES","AVE",6,"",6,3,3,323,26,"6/14/16",1985,"O",1,2,"",3,12571734,31
"21",100,"AMHERST","AVE",6,"",7,4,3,557,25,"5/14/16",2005,"F",1,3,"",4,12576881,11
"22",100,"AMIDON","DR",4,"",4,2,2,250,27,"3/13/16",1999,"F",1,3,"",4,13002105,17
"23",100,"AMY","ST",3,"",8,4,4,792,27,"4/15/16",1999,"O",1,2,"",3,12573417,17
"24",100,"ANDERSON","AVE",6,"",6,3,4,1150,25,"5/14/16",1999,"O",1,2,"",3,12576600,17
"25",100,"ANDOVER","RD",5,"",6,3,5,323,21,"5/14/16",1985,"O",1,2,"",3,12577527,31
"26",100,"ARCH","ST",3,"",6,2,4,546,18,"4/15/16",2002,"O",1,2,"",3,12581146,14
"27",100,"ARCHER","RD",5,"",7,3,5,845,28,"4/14/16",1999,"O",1,2,"",3,12572325,17
"28",100,"ARDEN","DR",4,"",6,3,3,323,28,"3/14/16",2001,"O",1,2,"",3,12571869,15
"29",100,"ARDMORE","PL",1,"",4,2,4,317,21,"4/14/16",1999,"O",1,2,"",3,12580665,17
"30",100,"ARDMORE","PL",1,"",4,2,4,317,21,"4/14/16",1999,"O",1,2,"",3,12580667,17
"31",100,"ARGONNE","DR",4,"",4,3,3,247,26,"3/15/16",1985,"O",1,2,"",3,12572899,31
"32",100,"ARGYLE","AVE",6,"",3,2,3,175,22,"4/14/16",1989,"O",1,2,"",3,12580767,27
"33",100,"ARGYLE","TER",2,"",7,2,5,360,25,"5/14/16",2005,"F",1,3,"",3,12573198,11
"34",100,"ARLINGTON","AVE",6,"",4,2,2,350,36,"3/15/16",1999,"F",1,3,"",6,12572035,17
"35",100,"ARMSTRONG","PL",1,"",6,3,4,1330,27,"6/14/16",1999,"O",1,2,"",3,12571903,17
"36",100,"ARNTS","PL",1,"",7,3,4,686,28,"4/15/16",1999,"O",1,2,"",3,12575521,17
"37",100,"ARSENAL","DR",4,"",5,2,4,495,18,"3/13/16",1999,"O",1,2,"",3,12576562,17
"38",100,"ASH","ST",3,"",5,3,3,411,30,"4/15/16",1999,"F",1,3,"",6,12575114,17
"39",100,"ASHDALE","AVE",6,"",6,3,4,716,27,"4/15/16",1988,"O",1,2,"",3,12581076,28
"40",100,"ASHWORTH","PL",1,"",4,3,2,600,27,"4/14/16",1999,"F",1,3,"",6,12578137,17
"41",100,"ATKINSON","AVE",6,"",7,3,5,739,23,"4/14/16",1985,"O",1,2,"",3,12572894,31
"42",100,"ATLANTIC","AVE",6,"",6,3,3,NA,NA,"4/15/16",1985,"O",1,2,"",3,12576699,31
"43",100,"AUSTIN","AVE",6,"",7,3,5,1637,23,"4/14/16",2003,"O",1,2,"",3,12572328,13
"44",100,"AVERY","AVE",6,"S",6,2,4,455,36,"4/15/16",1999,"F",2,3,"CO",6,13010365,17
"45",100,"AVERY","AVE",6,"S",6,2,4,455,36,"4/15/16",1999,"F",2,3,"CO",6,12572698,17
"46",100,"AVERY","AVE",6,"S",6,2,4,455,36,"4/15/16",1999,"F",2,3,"CO",6,13010364,17
"47",100,"AVOCA","ST",3,"",3,2,3,422,27,"6/14/16",1985,"O",1,2,"",3,12572709,31
"48",100,"AVON","RD",5,"",5,2,3,685,28,"4/14/16",2001,"O",1,2,"",3,12581144,15
"49",100,"AVONDALE","PL",1,"",5,3,2,561,25,"3/13/16",2002,"F",1,3,"",4,12577635,14
"50",100,"BAKER","AVE",6,"",7,4,4,605,27,"4/15/16",1999,"F",1,3,"",6,12577267,17
"51",100,"BALDWIN","AVE",6,"",6,3,2,1007,27,"4/15/16",1999,"O",1,2,"",3,12571994,17
"52",100,"BALL","CIR",7,"",5,3,2,1031,26,"5/14/16",1985,"O",1,2,"",3,12576912,31
"53",100,"BALLANTYNE","RD",5,"",8,4,4,805,31,"5/14/16",2004,"F",1,3,"",4,12576746,12
"54",100,"BALLANTYNE","RD",5,"",8,4,4,805,31,"5/14/16",2004,"F",1,3,"",4,13028538,12
"55",100,"BALLARD","AVE",6,"",5,3,3,375,NA,"3/15/16",1985,"O",1,2,"",3,12573229,31
"56",100,"BARKER","AVE",6,"",5,2,4,178,30,"4/14/16",2001,"O",1,2,"",3,12573771,15
"57",100,"BARNES","AVE",6,"",5,3,3,317,27,"4/15/16",1999,"O",1,2,"",3,12571902,17
"58",100,"BARNES","AVE",6,"",5,3,3,317,27,"4/15/16",1999,"O",1,2,"",3,12571901,17
"59",100,"BARRINGTON","RD",5,"",5,3,4,411,30,"3/13/16",1999,"O",1,2,"",3,12579593,17
"60",100,"BASIN","ST",3,"",7,3,3,455,30,"4/15/16",2004,"F",1,3,"",4,12575165,12
"61",100,"BASSETT","ST",3,"",7,4,3,411,27,"5/13/16",2006,"F",1,3,"",3,13017590,10
"62",100,"BASSETT","ST",3,"",7,4,3,411,27,"5/13/16",2006,"F",1,3,"",3,12578184,10
"63",100,"BASSETT","ST",3,"",7,4,3,411,27,"5/13/16",2006,"F",1,3,"",3,12578207,10
"64",100,"BASSETT","ST",3,"",8,5,3,616,27,"5/13/16",2006,"F",1,3,"",3,13017590,10
"65",100,"BASSETT","ST",3,"",8,5,3,616,27,"5/13/16",2006,"F",1,3,"",3,12578184,10
"66",100,"BASSETT","ST",3,"",8,5,3,616,27,"5/13/16",2006,"F",1,3,"",3,12578207,10
"67",100,"BEACON","RD",5,"",7,3,4,264,28,"4/14/16",2001,"F",1,3,"",6,12581056,15
"68",100,"BEACON","RD",5,"",7,3,4,264,28,"4/14/16",2001,"F",1,3,"",6,12581052,15
"69",100,"BEAR","ST",3,"W",5,3,3,411,36,"4/14/16",1985,"F",3,3,"MA",6,12575203,31
"70",100,"BEAR","ST",3,"W",5,3,3,411,36,"4/14/16",1985,"F",3,3,"MA",6,13001193,31
"71",100,"BEAR","ST",3,"W",5,3,3,411,36,"4/14/16",1985,"F",3,3,"MA",6,12575201,31
"72",100,"BEARD","AVE",6,"E",5,3,2,528,25,"5/14/16",1999,"F",1,3,"",6,12577247,17
"73",100,"BEARD","AVE",6,"E",5,3,2,528,25,"5/14/16",1999,"F",1,3,"",6,12577248,17
"74",100,"BEARD","AVE",6,"W",4,3,1,587,28,"3/15/16",1999,"F",1,3,"",6,12577235,17
"75",100,"BEARD","PL",1,"",3,2,1,581,12,"5/14/16",1999,"F",1,3,"",4,12577242,17
"76",100,"BEATTIE","ST",3,"",5,3,4,900,22,"3/13/16",1988,"O",1,2,"",6,12578829,28
"77",100,"BEATTIE","ST",3,"",5,3,4,900,22,"3/13/16",1988,"O",1,2,"",6,12578830,28
"78",100,"BEAUMONT","PL",1,"",4,2,4,293,35,"5/14/16",1988,"O",1,2,"",3,12578937,28
"79",100,"BEAUMONT","PL",1,"",4,2,4,293,35,"5/14/16",1988,"O",1,2,"",3,13011132,28
"80",100,"BECKER","ST",3,"",7,3,5,300,19,"4/15/16",2002,"O",1,2,"",3,12580216,14
"81",100,"BEECH","ST",3,"S",8,4,5,381,30,"4/14/16",2003,"F",1,3,"",6,12578261,13
"82",100,"BEECH","ST",3,"S",8,4,5,381,30,"4/14/16",2003,"F",1,3,"",6,12578258,13
"83",100,"BEECHER","ST",3,"",7,4,4,590,25,"4/14/16",1999,"F",1,3,"",6,13012342,17
"84",100,"BEECHER","ST",3,"",7,4,4,590,25,"4/14/16",1999,"F",1,3,"",6,12580084,17
"85",100,"BEECHER","ST",3,"",7,4,4,590,25,"4/14/16",1999,"F",1,3,"",6,12580077,17
"86",100,"BELLE","AVE",6,"",4,2,2,1504,24,"5/14/16",1985,"O",1,2,"",3,12576721,31
"87",100,"BELLEVUE","AVE",6,"",5,3,3,352,30,"3/15/16",1999,"F",2,3,"CO",6,12573326,17
"88",100,"BELLEVUE","AVE",6,"",5,3,3,352,30,"3/15/16",1999,"F",2,3,"CO",6,12573312,17
"89",100,"BELLSHIRE","LN",8,"",7,3,4,400,28,"4/14/16",1999,"O",1,2,"",3,12575550,17
"90",100,"BENDER","ST",3,"",7,3,5,211,22,"4/15/16",1999,"O",1,2,"",3,12580651,17
"91",100,"BENEDICT","AVE",6,"",5,2,3,739,24,"5/14/16",1985,"O",1,2,"",3,12577312,31
"92",100,"BENEDICT","AVE",6,"",5,2,3,739,24,"5/14/16",1985,"O",1,2,"",3,12576899,31
"93",100,"BENNINGTON","DR",4,"",5,2,4,528,27,"3/13/16",1985,"F",1,3,"",6,12576753,31
"94",100,"BERGER","AVE",6,"",7,3,4,1262,25,"4/15/16",1999,"O",1,2,"",3,12571996,17
