streetName,streetType,longitude,latitude
KINGSLEY,PL,-76.1903905,43.0566446
ABERDEEN,TER,-76.095061,43.062321
ACADEMY,PL,-76.1515126,42.995697
ACADEMY,ST,-76.1518596,42.999843
ADAMS,ST,-76.1411958,43.0427022
AINSLEY,DR,-76.129408,43.01122
ALANSON,RD,-76.1722137,43.0252701
ALBERT,RD,-76.091785,43.045428
ALDEN,ST,-76.133209,43.019834
ALEXANDER,AVE,-76.151087,43.033482
ALMOND,ST,-76.1422564,43.0442133
ALTON,ST,-76.1964224,43.0233929
ALVORD,ST,-76.155718,43.066036
AMES,AVE,-76.157676,43.0036834
AMHERST,AVE,-76.142102,43.023284
AMIDON,DR,-76.144503,42.996675
AMY,ST,-76.173606,43.04088
ANDERSON,AVE,-76.1399491,43.0905042
ANDOVER,RD,-76.120822,43.027836
ARCH,ST,-76.0994224,43.0607625
ARCHER,RD,-76.1903708,43.0296531
ARDEN,DR,-76.1743496,43.0215084
ARDMORE,PL,-76.143087,43.081343
ARGONNE,DR,-76.1802365,43.0268986
ARGYLE,AVE,-76.133399,43.075234
ARGYLE,TER,-76.153204,43.0271098
ARLINGTON,AVE,-76.166777,43.021279
ARMSTRONG,PL,-76.1656884,43.0139307
ARNTS,PL,-76.155864,43.075954
ARSENAL,DR,-76.137633,42.999781
ASH,ST,-76.149749,43.0603284
ASHDALE,AVE,-76.108728,43.073519
ASHWORTH,PL,-76.1320822,43.0477133
ATKINSON,AVE,-76.183726,43.02816
ATLANTIC,AVE,-76.153679,43.010901
AUSTIN,AVE,-76.188171,43.028157
AVERY,AVE,-76.194009,43.051372
AVOCA,ST,-76.1914079,43.0458812
AVON,RD,-76.100785,43.063579
AVONDALE,PL,-76.119167,43.039506
BAKER,AVE,-76.1435843,43.0290506
BALDWIN,AVE,-76.155205,43.0154065
BALL,CIR,-76.1330707,43.012614
BALLANTYNE,RD,-76.1496902,43.0104603
BALLARD,AVE,-76.156249,43.030754
BARKER,AVE,-76.161994,43.050812
BARNES,AVE,-76.1595643,43.0078023
BARRINGTON,RD,-76.0843182,43.0437053
BASIN,ST,-76.157766,43.062807
BASSETT,ST,-76.122352,43.044403
BEACON,RD,-76.113168,43.073811
BEAR,ST,-76.1612549,43.069744
BEARD,AVE,-76.150029,43.025996
BEARD,PL,-76.1446252,43.0263944
BEATTIE,ST,-76.1082964,43.049301
BEAUMONT,PL,-76.087535,43.044802
BECKER,ST,-76.147095,43.071807
BEECH,ST,-76.1247911,43.0445903
BEECHER,ST,-76.1399851,43.0610811
BELLE,AVE,-76.1448386,43.0114707
BELLEVUE,AVE,-76.1870024,43.0319958
BELLSHIRE,LN,-76.1535039,43.0791483
BENDER,ST,-76.135333,43.07651
BENEDICT,AVE,-76.1379791,43.023495
BENNINGTON,DR,-76.140032,43.011949
BERGER,AVE,-76.1541511,43.0148491
BERKELEY,DR,-76.126623,43.032054
BERKSHIRE,AVE,-76.1393073,43.0757946
BERTRAM,PL,-76.1577022,43.0173353
BERWYN,AVE,-76.13908,43.024872
BEVERLY,RD,-76.1675188,43.0278486
BISHOP,AVE,-76.1580963,43.0208736
BISSELL,ST,-76.1576301,43.0253922
BLAINE,ST,-76.1544157,43.0332284
BLOSSOM,RD,-76.105183,43.044142
BOISE,DR,-76.13127,43.024088
BORDEN,AVE,-76.1505434,43.0268272
BOSTON,ST,-76.090432,43.064831
BOYDEN,ST,-76.1224029,43.0609638
BRACE,ST,-76.153663,43.075776
BRADFORD,LN,-76.1053392,43.0339988
BRADFORD,PKWY,-76.10126,43.035592
BRADFORD,ST,-76.1562626,43.0054482
BRADLEY,ST,-76.172376,43.034758
BRAMPTON,RD,-76.140891,42.992401
BRATTLE,RD,-76.128667,43.067303
BRIGGS,ST,-76.1394089,43.077056
BRIGHTON,AVE,-76.1340418,43.0114247
BRISTOL,PL,-76.122923,43.042435
BROAD,ST,-76.1159669,43.0305427
BROADVIEW,DR,-76.20072,43.023868
BRONSON,ST,-76.1453864,42.9940458
BRONX,AVE,-76.133659,43.073437
BROOKFORD,RD,-76.101554,43.037871
BROOKLEA,DR,-76.150217,42.9936859
BROOKLEA,PL,-76.1498046,42.9954294
BROOKSIDE,DR,-76.149513,42.982839
BROWN,ST,-76.1442938,43.0517279
BRUCE,ST,-76.111653,43.048804
BRYANT,AVE,-76.184705,43.045117
BUCKINGHAM,AVE,-76.120822,43.027836
BUNGALOW,TER,-76.1852236,43.0312515
BURDICK,AVE,-76.154064,43.076739
BURLINGAME,RD,-76.132086,43.063259
BURNET,AVE,-76.1162593,43.0558443
BURNET PARK,DR,-76.184283,43.041004
BURNS,AVE,-76.091702,43.065064
BURT,ST,-76.1456147,43.0383159
BURTEN,ST,-76.1343333,43.0197471
BUTLER,ST,-76.1293501,43.0183225
BUTTERNUT,ST,-76.1433477,43.0650493
BYRNE,PL,-76.1416401,42.9973643
CADILLAC,ST,-76.1475222,43.0814125
CADWELL,ST,-76.175565,43.037889
CALEB,AVE,-76.100585,43.0609
CALTHROP,AVE,-76.1451267,43.015734
CALVIN,RD,-76.177036,43.022275
CAMBRIDGE,ST,-76.117983,43.043791
CAMP,AVE,-76.1573928,43.0079343
CANNON,ST,-76.1460588,43.019284
CARBON,ST,-76.154007,43.068337
CARLISLE,ST,-76.152683,43.0684911
CARLTON,DR,-76.0891962,43.0447928
CARLTON,RD,-76.175918,43.022616
CATAWBA,ST,-76.153457,43.0619996
CATHERINE,ST,-76.1434511,43.0554077
CAYUGA,ST,-76.1906429,43.0501771
CENTRAL,AVE,-76.189579,43.006286
CHAFFEE,AVE,-76.1528649,42.9977234
CHAMPLIN,DR,-76.101927,43.060601
CHANNING,PL,-76.141591,42.997973
CHARLOTTE,ST,-76.1939255,43.053744
CHARMOUTH,DR,-76.166777,43.021279
CHATHAM,PL,-76.1442976,43.0825442
CHATHAM,RD,-76.12536,43.066361
CHELTENHAM,RD,-76.138302,42.995879
CHEMUNG,ST,-76.1958175,43.0575093
CHENEY,ST,-76.162271,43.030006
CHENNAULT,DR,-76.111598,43.036059
CHERRY,ST,-76.1234752,43.0468641
CHESTER,ST,-76.1575352,43.0315171
