block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs
100,ABERDEEN,TER,1,,8,4,4,530,22,12/1/1998,1988,,1,1,Local,3,12581174,10
100,ACADEMY,PL,2,,8,4,5,588,28,12/1/1999,1985,O,1,2,Local,3,12576512,14
100,ACADEMY,ST,3,,9,5,5,325,25,12/1/1998,1999,O,1,2,Local,3,12571714,-1
100,ADAMS,ST,3,E,6,4,2,176,64,3/1/2000,1985,,1,1,Local,6,12577644,15
100,ADAMS,ST,3,W,7,3,4,352,64,2/1/2000,1985,,1,1,Local,6,12573680,15
100,AINSLEY,DR,4,,8,4,4,411,26,12/1/1999,1985,,2,1,CO,3,12576914,14
100,AINSLEY,DR,4,,8,4,4,411,26,12/1/1999,1985,,2,1,CO,3,12576911,14
100,ALANSON,RD,5,,3,1,3,880,18,12/1/1999,1985,,1,1,Local,3,12572942,14
100,ALANSON,RD,5,,3,1,3,880,18,12/1/1999,1985,,1,1,Local,3,12572940,14
100,ALANSON,RD,5,,3,1,3,880,18,12/1/1999,1985,,1,1,Local,3,12571891,14
100,ALBERT,RD,5,,8,3,5,327,27,12/1/1999,1985,,1,1,Local,3,12578942,14
100,ALDEN,ST,3,,6,3,4,792,26,12/1/1999,1989,,1,1,Local,3,12576956,10
100,ALEXANDER,AVE,6,,4,2,3,686.4,27,12/1/1998,1985,,1,1,Local,4,12577333,13
100,ALMOND,ST,3,,7,3,4,150,54,3/1/2000,1999,,1,1,Local,6,12578006,1
100,ALMOND,ST,3,,7,3,4,150,54,3/1/2000,1999,,1,1,Local,6,12577993,1
100,ALTON,ST,3,,6,3,4,1050,25,12/1/1999,1985,,1,1,Local,3,13011484,14
100,ALTON,ST,3,,6,3,4,1050,25,12/1/1999,1985,,1,1,Local,3,13002170,14
100,ALVORD,ST,3,S,6,3,4,352,32,12/1/1999,1987,,1,1,Local,6,12580079,12
100,AMES,AVE,6,,8,4,5,323,26,12/1/1999,1985,O,1,2,Local,3,12571734,14
100,AMHERST,AVE,6,,5,2,3,557,25,12/1/1998,1985,,1,1,Local,4,12576881,13
100,AMIDON,DR,4,,7,4,4,250,27,12/1/1998,1999,,1,1,Local,4,13002105,-1
100,AMY,ST,3,,8,4,4,792,27,12/1/1998,1999,,1,1,Local,3,12573417,-1
100,ANDERSON,AVE,6,,10,5,5,1150,25,12/1/1999,1999,O,1,2,Local,3,12576600,0
100,ANDOVER,RD,5,,8,4,5,323,21,12/1/1999,1985,,1,1,Local,6,12577527,14
100,ARCH,ST,3,,7,3,4,546,18,12/1/1998,1985,,1,1,Local,3,12581146,13
100,ARCHER,RD,5,,10,5,5,844.8,28,12/1/1999,1999,,1,1,Local,3,12572325,0
100,ARDEN,DR,4,,6,3,4,323,28,12/1/1999,1985,,1,1,Local,3,12571869,14
100,ARDMORE,PL,2,,10,5,5,317,21,12/1/1998,1999,,1,1,Local,3,12580667,-1
100,ARDMORE,PL,2,,10,5,5,317,21,12/1/1998,1999,,1,1,Local,3,12580665,-1
100,ARGONNE,DR,4,,6,3,3,247,26,12/1/1999,1985,,1,1,Local,3,12572899,14
100,ARGYLE,AVE,6,,6,3,4,175,22,1/1/2000,1989,,1,1,Local,3,12580767,11
100,ARGYLE,TER,1,,4,2,4,686.4,25,12/1/1999,1999,,1,1,Local,3,12573198,0
100,ARLINGTON,AVE,6,,5,3,3,350,36,12/1/1998,1999,,1,1,Local,6,12572035,-1
100,ARMSTRONG,PL,2,,8,4,5,1330,27,12/1/1999,1999,O,1,2,Local,3,12571903,0
100,ARNETT,AVE,6,,8,4,5,381,30,12/1/1998,1999,,1,1,Local,3,12581038,-1
100,ARNETT,AVE,6,,8,4,5,381,30,12/1/1998,1999,,1,1,Local,3,12581036,-1
100,ARNETT,AVE,6,,8,4,5,381,30,12/1/1998,1999,,1,1,Local,3,13012319,-1
100,ARNTS,PL,2,,10,5,5,686.4,28,12/1/1998,1999,,1,1,Local,3,12575521,-1
100,ARSENAL,DR,4,,9,5,5,495,17.5,12/1/1998,1999,O,1,2,Local,3,12576562,-1
100,ASH,ST,3,,10,5,5,411,30,12/1/1999,1999,,1,1,Local,6,12575114,0
100,ASHDALE,AVE,6,,8,4,4,716,27,12/1/1998,1988,,1,1,Local,3,12581076,10
100,ASHWORTH,PL,2,,7,4,3,600,27,3/1/2000,1999,,1,1,Local,6,12578137,1
100,ATKINSON,AVE,6,,5,2,3,739.2,23,12/1/1999,1985,,1,1,Local,3,12572894,14
100,ATLANTIC,AVE,6,,doesn't,intersect,ct Atla,No Houses,,ntic,1985,,1,1,Local,3,12576699,#VALUE!
100,AUSTIN,AVE,6,,6,3,4,1636.8,23,12/1/1999,1999,,1,1,Local,3,12572328,0
100,AVERY,AVE,6,S,9,5,5,455,36,12/1/1998,1999,,2,1,CO,6,13010365,-1
100,AVERY,AVE,6,S,9,5,5,455,36,12/1/1998,1999,,2,1,CO,6,12572698,-1
100,AVERY,AVE,6,S,9,5,5,455,36,12/1/1998,1999,,2,1,CO,6,13010364,-1
100,AVOCA,ST,3,,5,3,2,422.4,27,2/1/2000,1985,,1,1,Local,3,12572709,15
100,AVON,RD,5,,6,3,4,686.4,27,12/1/1998,1999,,1,1,Local,3,12581144,-1
100,AVONDALE,PL,2,,5,3,3,561,25,12/1/1999,1985,,1,1,Local,4,12577635,14
100,BAKER,AVE,6,,8,5,4,605,27,12/1/1999,1999,,1,1,Local,6,12577267,0
100,BALDWIN,AVE,6,,7,4,4,1007,27,12/1/1998,1999,O,1,2,Local,3,12571994,-1
100,BALL,CIR,7,,7,4,3,1031,26,12/1/1999,1985,O,1,2,Local,3,12576912,14
100,BALLANTYNE,RD,5,,5,2,3,805,31,12/1/1999,1999,,1,1,Local,4,13028538,0
100,BALLANTYNE,RD,5,,5,2,3,805,31,12/1/1999,1999,,1,1,Local,4,12576746,0
100,BALLARD,AVE,6,,6,4,2,375,,12/1/1998,1985,,1,1,Local,,12573229,13
100,BARKER,AVE,6,,2,1,4,581,30,3/1/2000,1999,,1,1,Local,2,12573771,1
100,BARNES,AVE,6,,8,4,5,317,27,12/1/1999,1999,O,1,2,Local,3,12571902,0
100,BARNES,AVE,6,,8,4,5,317,27,12/1/1999,1999,O,1,2,Local,3,12571901,0
100,BARRINGTON,RD,5,,8,5,3,411,30,12/1/1998,1999,,1,1,Local,3,12579593,-1
100,BASIN,ST,3,,4,2,3,455,30,2/1/2000,1985,,1,1,Local,4,12575165,15
100,BASSETT,ST,3,,5,3,3,411,27,12/1/1998,1985,,1,1,Local,3,12578184,13
100,BASSETT,ST,3,,5,3,3,411,27,12/1/1998,1985,,1,1,Local,3,12578207,13
100,BASSETT,ST,3,,5,3,3,411,27,12/1/1998,1985,,1,1,Local,3,13017590,13
100,BEACON,RD,5,,6,3,4,264,28,12/1/1998,1985,,1,1,Local,6,12581052,13
100,BEACON,RD,5,,6,3,4,264,28,12/1/1998,1985,,1,1,Local,6,12581056,13
100,BEAR,ST,3,W,6,4,3,411,36,2/1/2000,1985,,3,1,MA,6,12575201,15
100,BEAR,ST,3,W,6,4,3,411,36,2/1/2000,1985,,3,1,MA,6,13001193,15
100,BEAR,ST,3,W,6,4,3,411,36,2/1/2000,1985,,3,1,MA,6,12575203,15
100,BEARD,AVE,6,E,6,4,3,528,25,12/1/1999,1999,,1,1,Local,6,12577248,0
100,BEARD,AVE,6,E,6,4,3,528,25,12/1/1999,1999,,1,1,Local,6,12577247,0
100,BEARD,AVE,6,W,8,5,3,587,28,12/1/1998,1999,,1,1,Local,6,12577235,-1
100,BEARD,PL,2,,6,4,2,580.8,12,12/1/1999,1999,,1,1,Local,4,12577242,0
100,BEATTIE,ST,3,,7,3,4,900,22,12/1/1998,1988,,1,1,Local,6,12578829,10
100,BEATTIE,ST,3,,7,3,4,900,22,12/1/1998,1988,,1,1,Local,6,12578830,10
100,BEAUMONT,PL,2,,6,2,4,293,35,12/1/1999,1988,,1,1,Local,3,13011132,11
100,BEAUMONT,PL,2,,6,2,4,293,35,12/1/1999,1988,,1,1,Local,3,12578937,11
100,BECKER,ST,3,,5,3,4,300,19,1/1/2000,1985,,1,1,Local,3,12580216,15
100,BEECH,ST,3,S,5,3,3,381,30,12/1/1998,1983,,1,1,Local,6,12578261,15
100,BEECH,ST,3,S,5,3,3,381,30,12/1/1998,1983,,1,1,Local,6,12578258,15
100,BEECHER,ST,3,,10,5,5,590,25,12/1/1999,1999,,1,1,Local,6,12580077,0
100,BEECHER,ST,3,,10,5,5,590,25,12/1/1999,1999,,1,1,Local,6,12580084,0
100,BEECHER,ST,3,,10,5,5,590,25,12/1/1999,1999,,1,1,Local,6,13012342,0
100,BELLE,AVE,6,,7,3,4,1504,24,12/1/1998,1985,O,1,2,Local,3,12576721,13
100,BELLEVUE,AVE,6,,7,3,4,352,30,'11/99,1999,,2,1,CO,6,12573326,#VALUE!
100,BELLEVUE,AVE,6,,7,3,4,352,30,'11/99,1999,,2,1,CO,6,12573312,#VALUE!
100,BELLSHIRE,LN,8,,9,5,5,400,28,12/1/1999,1999,,1,1,Local,3,12575550,0
100,BENDER,ST,3,,10,5,5,211,22,12/1/1998,1999,,1,1,Local,3,12580651,-1
100,BENEDICT,AVE,6,,5,2,3,739.2,24,12/1/1999,1985,,1,1,Local,3,12576899,14
100,BENEDICT,AVE,6,,5,2,3,739.2,24,12/1/1999,1985,,1,1,Local,3,12577312,14
100,BENNINGTON,DR,4,,6,3,4,528,27,12/1/1998,1985,,1,1,Local,6,12576753,13
100,BERGER,AVE,6,,7,4,4,1262,25,12/1/1998,1999,O,1,2,Local,3,12571996,-1
100,BERKELEY,DR,4,,3,2,2,367,32,12/1/1999,1985,,1,1,Local,6,13011307,14
100,BERKELEY,DR,4,,3,2,2,367,32,12/1/1999,1985,,1,1,Local,6,13017688,14
100,BERKELEY,DR,4,,3,2,2,367,32,12/1/1999,1985,,1,1,Local,6,12577560,14
100,BERKSHIRE,AVE,6,,6,3,4,909,27,1/1/2000,1985,,1,1,Local,3,12580624,15
